2025-07-16 11:11:06,052 INFO Connecting to 149.154.167.51:443/TcpFull...
2025-07-16 11:11:08,488 INFO Connection to 149.154.167.51:443/TcpFull complete!
2025-07-16 11:12:02,750 INFO Phone migrated to 4
2025-07-16 11:12:02,854 INFO Reconnecting to new data center 4
2025-07-16 11:12:03,059 INFO Disconnecting from 149.154.167.51:443/TcpFull...
2025-07-16 11:12:03,060 INFO Disconnection from 149.154.167.51:443/TcpFull complete!
2025-07-16 11:12:03,060 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:12:05,001 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:13:52,192 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:13:52,315 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:14:10,030 WARNING Telegram is having internal issues AuthRestartError: Restart the authorization process (caused by SendCodeRequest)
2025-07-16 11:15:15,346 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:15:15,465 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 11:15:34,922 WARNING Telegram is having internal issues AuthRestartError: Restart the authorization process (caused by SendCodeRequest)
2025-07-16 11:20:23,204 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 11:20:23,515 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 12:54:29,588 INFO Connecting to 149.154.167.91:443/TcpFull...
2025-07-16 12:54:29,736 INFO Connection to 149.154.167.91:443/TcpFull complete!
2025-07-16 12:57:42,159 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:42,977 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:43,818 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:45,323 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:45,440 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:45,550 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:45,661 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:45,774 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:45,915 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:46,026 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:46,244 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:46,658 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:46,881 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:46,999 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:47,731 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:48,381 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:49,209 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:49,869 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:50,557 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:50,869 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:51,074 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:51,599 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:52,988 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:53,402 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:53,818 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:54,635 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:55,257 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:55,508 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:55,846 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:56,718 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:57:58,742 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:58:05,677 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:58:08,473 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:58:10,317 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:58:11,132 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:58:13,589 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:58:14,206 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
2025-07-16 12:58:15,128 INFO Starting direct file download in chunks of 131072 at 0, stride 131072
